Binary,FuncName,Method,#Calls,#Success,SuccessRate,Time(s)
/home/firmware/New_dataset/Netgear/EX6100/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Enhanced,1354,1274,0.9409,137.1306
/home/firmware/New_dataset/Netgear/EX6120/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Fast,2243,0,0.0000,1.5264
/home/firmware/New_dataset/Netgear/EX6120/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Ghidra,1387,1357,0.9784,133.7053
/home/firmware/New_dataset/Netgear/EX6120/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Enhanced,1387,1357,0.9784,135.2317
/home/firmware/New_dataset/Netgear/EX6120/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Fast,1350,0,0.0000,0.4717
/home/firmware/New_dataset/Netgear/EX6120/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Ghidra,1350,1288,0.9541,135.6178
/home/firmware/New_dataset/Netgear/EX6120/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Enhanced,1350,1288,0.9541,136.0895
/home/firmware/New_dataset/Netgear/R6200/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Fast,799,0,0.0000,0.3203
/home/firmware/New_dataset/Netgear/R6200/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Ghidra,698,647,0.9269,108.0014
/home/firmware/New_dataset/Netgear/R6200/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Enhanced,698,647,0.9269,108.3217
/home/firmware/New_dataset/Netgear/R6200/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Fast,534,0,0.0000,0.2073
/home/firmware/New_dataset/Netgear/R6200/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Ghidra,534,385,0.7210,129.0796
/home/firmware/New_dataset/Netgear/R6200/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Enhanced,534,385,0.7210,129.2869
/home/firmware/New_dataset/Netgear/R6300/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Fast,650,0,0.0000,0.2462
/home/firmware/New_dataset/Netgear/R6300/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Ghidra,475,425,0.8947,80.9880
/home/firmware/New_dataset/Netgear/R6300/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Enhanced,475,425,0.8947,81.2341
/home/firmware/New_dataset/Netgear/R6300/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Fast,509,0,0.0000,0.1910
/home/firmware/New_dataset/Netgear/R6300/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Ghidra,509,365,0.7171,98.2326
/home/firmware/New_dataset/Netgear/R6300/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Enhanced,509,365,0.7171,98.4236
/home/firmware/New_dataset/Netgear/R6350/squashfs-root/usr/sbin/setup.cgi,nvram_set,Fast,575,303,0.5270,0.2731
/home/firmware/New_dataset/Netgear/R6350/squashfs-root/usr/sbin/setup.cgi,nvram_set,Ghidra,586,504,0.8601,137.9358
/home/firmware/New_dataset/Netgear/R6350/squashfs-root/usr/sbin/setup.cgi,nvram_set,Enhanced,575,303,0.5270,0.2731
/home/firmware/New_dataset/Netgear/R6350/squashfs-root/usr/sbin/setup.cgi,nvram_get,Fast,1557,1156,0.7425,0.5413
/home/firmware/New_dataset/Netgear/R6350/squashfs-root/usr/sbin/setup.cgi,nvram_get,Ghidra,1557,1267,0.8137,261.9079
/home/firmware/New_dataset/Netgear/R6350/squashfs-root/usr/sbin/setup.cgi,nvram_get,Enhanced,1557,1156,0.7425,0.5413
/home/firmware/New_dataset/Netgear/R7000P/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Fast,3022,0,0.0000,0.7375
/home/firmware/New_dataset/Netgear/R7000P/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Ghidra,2753,2239,0.8133,291.1672
/home/firmware/New_dataset/Netgear/R7000P/squashfs-root/usr/sbin/httpd,acosNvramConfig_set,Enhanced,2753,2239,0.8133,291.9047
/home/firmware/New_dataset/Netgear/R7000P/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Fast,2003,0,0.0000,0.4184
/home/firmware/New_dataset/Netgear/R7000P/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Ghidra,2003,1529,0.7634,317.6450
/home/firmware/New_dataset/Netgear/R7000P/squashfs-root/usr/sbin/httpd,acosNvramConfig_get,Enhanced,2003,1529,0.7634,318.0634
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/sbin/rcS,nvram_set,Fast,33,0,0.0000,0.0177
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/sbin/rcS,nvram_set,Ghidra,32,24,0.7500,12.9225
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/sbin/rcS,nvram_set,Enhanced,32,24,0.7500,12.9402
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/sbin/rcS,nvram_get,Fast,105,0,0.0000,0.0362
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/sbin/rcS,nvram_get,Ghidra,105,75,0.7143,17.9928
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/sbin/rcS,nvram_get,Enhanced,105,75,0.7143,18.0289
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/bin/boa,nvram_set,Fast,7,0,0.0000,0.0107
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/bin/boa,nvram_set,Ghidra,6,5,0.8333,7.1320
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/bin/boa,nvram_set,Enhanced,6,5,0.8333,7.1427
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/bin/boa,nvram_get,Fast,8,0,0.0000,0.0110
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/bin/boa,nvram_get,Ghidra,8,7,0.8750,7.4854
/home/firmware/New_dataset/Netgear/WNR2000/squashfs-root/bin/boa,nvram_get,Enhanced,8,7,0.8750,7.4963
/home/firmware/New_dataset/Linksys/E1200/router/httpd/httpd,nvram_set,Fast,506,0,0.0000,0.2093
/home/firmware/New_dataset/Linksys/E1200/router/httpd/httpd,nvram_set,Ghidra,259,202,0.7799,66.0349
/home/firmware/New_dataset/Linksys/E1200/router/httpd/httpd,nvram_set,Enhanced,259,202,0.7799,66.2443
/home/firmware/New_dataset/Linksys/E1200/router/httpd/httpd,nvram_get,Fast,542,0,0.0000,0.2239
/home/firmware/New_dataset/Linksys/E1200/router/httpd/httpd,nvram_get,Ghidra,542,445,0.8210,91.4605
/home/firmware/New_dataset/Linksys/E1200/router/httpd/httpd,nvram_get,Enhanced,542,445,0.8210,91.6845
