
[1/215] load_wifi_driver, 3s
[193/215] sub_414894, 0s
[194/215] sub_438a98, 0s
[195/215] sub_439f28, 0s
[196/215] sub_4215b4, 0s
[197/215] sub_43fb34, 0s
[198/215] sub_459bb8, 0s
[199/215] sub_421538, 0s
[200/215] sub_4146c4, 0s
[201/215] sub_43dcc4, 0s
[202/215] sub_43d350, 0s
[203/215] sub_459558, 0s
[204/215] sub_414760, 0s
[205/215] sub_43dde4, 0s
[206/215] sub_440360, 0s
[207/215] sub_43dd68, 0s
[208/215] sub_438970, 0s
[209/215] sub_43df70, 0s
[210/215] sub_4402f4, 0s
[211/215] sub_4147f8, 0s
[212/215] sub_403a44, 0s
[213/215] sub_4039d8, 0s
[214/215] init_product_info, 0s
[215/215] start_services_once, 0s
New_input_getters functions: sub_428b70, sub_423b30, start_dhcp6c, sub_44c420, detect_process, sub_403390, sub_44c2b0, sub_40dbf8, nvram_match, sub_45a160, wan6_up, sub_406b20, sub_45c128
[18/72] wan_if_getpathpara, 1s
[39/72] sub_424130, 1s
[50/72] preset_wan_routes, 1s
[65/72] sub_40f558, 0s
 Done 
Total time: 3211s 
